"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","27pF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"2","D1","1","PWR LED","LED_THT:LED_D3.0mm",""
"3","J2","1","Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"4","J3","1","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"5","J4","1","Conn_01x02","Footprints:ATF13-2P-BM03",""
"6","J5, J12, J15, J16","4","Conn_01x03","BSPD_footprints:ATF13-3P-BM03",""
"7","JP1, JP4, JP5, JP8","4","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm",""
"8","R1","1","20K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"9","R2","1","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"10","R3, R6, R7, R10","4","5Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"11","U1","1","~","Package_DIP:DIP-14_W7.62mm_Socket",""
"12","U2","1","MCP2551-I-P","Package_DIP:DIP-8_W7.62mm_Socket",""
"13","U4","1","TL780-05KCS","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"14","Y1","1","Crystal","Footprints:9B-16.000MAAJ-B",""
